,avg_within_event_corr,avg_between_event_corr,avg_difference,M,test_subject,dataset,K,embed_method,ROI,boundary_TRs,model_LogLikelihood
123,0.4911144674488329,-0.011489746843220091,0.502604214292053,8,14,sherlock,54,TPHATE,early_visual,"[0, 27, 65, 101, 124, 145, 188, 244, 284, 306, 340, 393, 477, 503, 532, 552, 586, 642, 671, 698, 733, 786, 831, 861, 898, 937, 971, 1006, 1040, 1061, 1082, 1125, 1146, 1175, 1221, 1242, 1282, 1322, 1368, 1442, 1465, 1497, 1556, 1600, 1611, 1654, 1692, 1728, 1779, 1799, 1839, 1865, 1893, 1946, 1976]",-2071.4041314908523
124,0.488899443272718,-0.011610844141577996,0.500510287414296,9,14,sherlock,54,TPHATE,early_visual,"[0, 28, 67, 100, 123, 146, 189, 244, 305, 340, 394, 471, 485, 506, 532, 552, 586, 640, 663, 731, 748, 784, 831, 859, 898, 936, 970, 1008, 1041, 1062, 1083, 1125, 1146, 1178, 1241, 1282, 1322, 1347, 1379, 1441, 1466, 1498, 1556, 1608, 1655, 1683, 1704, 1734, 1779, 1799, 1839, 1863, 1894, 1946, 1976]",-2100.9934740575327
125,0.5029346319374347,-0.011190600856471397,0.5141252327939061,10,14,sherlock,54,TPHATE,early_visual,"[0, 26, 68, 100, 124, 146, 188, 244, 305, 340, 363, 400, 447, 478, 503, 531, 590, 659, 674, 703, 730, 785, 831, 859, 896, 939, 980, 1004, 1020, 1040, 1083, 1125, 1146, 1180, 1244, 1281, 1323, 1347, 1398, 1442, 1466, 1498, 1556, 1601, 1612, 1656, 1703, 1734, 1778, 1799, 1839, 1861, 1897, 1947, 1976]",-2102.019948998676
126,0.3210915242165242,-0.011408085845608956,0.33249961006213313,2,15,sherlock,52,TPHATE,early_visual,"[0, 146, 288, 310, 332, 354, 376, 416, 456, 495, 596, 616, 636, 657, 678, 698, 719, 740, 760, 781, 801, 833, 865, 898, 930, 963, 995, 1028, 1060, 1093, 1125, 1158, 1190, 1222, 1262, 1303, 1344, 1385, 1426, 1467, 1508, 1549, 1590, 1631, 1672, 1713, 1754, 1795, 1836, 1877, 1918, 1958, 1976]",-2285.409224445603
127,0.4829332770045611,-0.014164334210537288,0.49709761121509843,3,15,sherlock,52,TPHATE,early_visual,"[0, 61, 101, 125, 144, 170, 211, 251, 283, 318, 355, 375, 435, 464, 493, 532, 582, 617, 676, 716, 751, 801, 846, 869, 898, 936, 957, 972, 1015, 1045, 1071, 1094, 1117, 1222, 1256, 1321, 1387, 1430, 1465, 1472, 1494, 1510, 1526, 1540, 1601, 1677, 1718, 1743, 1826, 1852, 1881, 1958, 1976]",-1763.788351655658
128,0.47908972512721787,-0.009336158251764277,0.48842588337898213,4,15,sherlock,52,TPHATE,early_visual,"[0, 34, 62, 121, 139, 159, 191, 216, 241, 292, 373, 398, 434, 463, 494, 533, 557, 615, 679, 711, 756, 843, 881, 909, 934, 955, 972, 1009, 1044, 1071, 1111, 1156, 1219, 1260, 1290, 1327, 1434, 1466, 1493, 1507, 1527, 1539, 1606, 1628, 1666, 1742, 1783, 1826, 1851, 1878, 1914, 1958, 1976]",-1819.0335650410545
129,0.49878220659419553,-0.008927064209960221,0.5077092708041557,5,15,sherlock,52,TPHATE,early_visual,"[0, 34, 65, 118, 142, 170, 209, 237, 261, 301, 325, 367, 432, 465, 493, 532, 564, 616, 671, 713, 754, 801, 844, 874, 912, 941, 979, 1009, 1044, 1075, 1104, 1172, 1222, 1260, 1289, 1325, 1388, 1434, 1465, 1493, 1517, 1535, 1563, 1599, 1656, 1738, 1802, 1826, 1852, 1880, 1912, 1958, 1976]",-1919.1413226565192
130,0.4695334926486715,-0.007998050113565032,0.4775315427622365,6,15,sherlock,52,TPHATE,early_visual,"[0, 36, 65, 119, 142, 169, 211, 238, 262, 308, 367, 402, 432, 465, 493, 532, 562, 616, 662, 720, 804, 840, 868, 888, 910, 949, 979, 1011, 1044, 1075, 1104, 1160, 1177, 1223, 1284, 1330, 1433, 1445, 1466, 1493, 1534, 1567, 1600, 1629, 1663, 1737, 1803, 1826, 1852, 1880, 1912, 1956, 1976]",-1979.8793487118014
131,0.5056563904763289,-0.008806317499747177,0.5144627079760761,7,15,sherlock,52,TPHATE,early_visual,"[0, 35, 66, 119, 143, 168, 216, 250, 302, 324, 344, 375, 427, 465, 493, 533, 560, 616, 666, 718, 750, 802, 836, 868, 887, 908, 957, 998, 1042, 1075, 1105, 1141, 1223, 1263, 1287, 1321, 1343, 1433, 1465, 1493, 1533, 1566, 1599, 1633, 1664, 1738, 1785, 1826, 1852, 1882, 1912, 1955, 1976]",-1975.5077903896195
132,0.5100916853041374,-0.00963275869113918,0.5197244439952766,8,15,sherlock,52,TPHATE,early_visual,"[0, 36, 66, 120, 142, 166, 215, 250, 302, 324, 344, 373, 429, 494, 533, 561, 614, 668, 701, 727, 748, 804, 835, 866, 888, 911, 941, 969, 1005, 1041, 1075, 1141, 1218, 1266, 1292, 1347, 1384, 1434, 1463, 1492, 1529, 1545, 1597, 1632, 1666, 1739, 1774, 1803, 1825, 1850, 1912, 1957, 1976]",-2020.0173676069403
