,method,sigma,alpha,demap,features
232,LLE,3.0,6,0.876039275047777,20
233,ISOMAP,3.0,6,0.9993513538629735,20
234,TSNE,3.0,6,0.9314648500522004,20
235,PHATE,3.0,6,0.9899195407976483,20
236,PCA,3.0,6,0.999359590072005,20
237,UMAP,3.0,6,0.9764838547546567,20
238,TPHATE,5.0,6,0.9880607511399807,20
239,LLE,5.0,6,0.8840942495258681,20
240,ISOMAP,5.0,6,0.9990911099001756,20
241,TSNE,5.0,6,0.9272395736059404,20
242,PHATE,5.0,6,0.9879196855014198,20
243,PCA,5.0,6,0.9992845026670851,20
244,UMAP,5.0,6,0.9911572494452183,20
245,TPHATE,10.0,6,0.9879503656963534,20
246,LLE,10.0,6,0.8893716099516293,20
247,ISOMAP,10.0,6,0.9963072838990985,20
248,TSNE,10.0,6,0.9262737357661761,20
249,PHATE,10.0,6,0.9869113634989392,20
250,PCA,10.0,6,0.9970354735814881,20
251,UMAP,10.0,6,0.9892750669296406,20
252,TPHATE,20.0,6,0.9886183336352858,20
253,LLE,20.0,6,0.8957379971070805,20
254,ISOMAP,20.0,6,0.9876642491567972,20
255,TSNE,20.0,6,0.918349857444746,20
256,PHATE,20.0,6,0.9865062963644278,20
257,PCA,20.0,6,0.9916066605315824,20
258,UMAP,20.0,6,0.9886013171972711,20
259,TPHATE,50.0,6,0.9841633416016404,20
260,LLE,50.0,6,0.7835150185552034,20
261,ISOMAP,50.0,6,0.9115965455875815,20
262,TSNE,50.0,6,0.8807077253284,20
263,PHATE,50.0,6,0.9386872083204862,20
264,PCA,50.0,6,0.953091642077401,20
265,UMAP,50.0,6,0.9370746699264013,20
266,TPHATE,80.0,6,0.9763579963714816,20
267,LLE,80.0,6,0.6680093983133223,20
268,ISOMAP,80.0,6,0.8689812361080677,20
269,TSNE,80.0,6,0.7962752468962109,20
270,PHATE,80.0,6,0.8947214641988215,20
271,PCA,80.0,6,0.8848265003804532,20
272,UMAP,80.0,6,0.8640247209373649,20
273,TPHATE,100.0,6,0.9583548200295455,20
274,LLE,100.0,6,0.625530979435533,20
275,ISOMAP,100.0,6,0.7762415603663663,20
276,TSNE,100.0,6,0.7314707046715092,20
277,PHATE,100.0,6,0.8358532676838021,20
278,PCA,100.0,6,0.7887829535190162,20
279,UMAP,100.0,6,0.7918687991545079,20
