,method,sigma,alpha,demap,features
178,TSNE,10.0,5,0.9183947201132964,20
179,PHATE,10.0,5,0.9897994515562836,20
180,PCA,10.0,5,0.9976967361582288,20
181,UMAP,10.0,5,0.985135454648286,20
182,TPHATE,20.0,5,0.9878602102039423,20
183,LLE,20.0,5,0.8486499200582999,20
184,ISOMAP,20.0,5,0.9744689440225639,20
185,TSNE,20.0,5,0.9172894739980789,20
186,PHATE,20.0,5,0.9781683809051015,20
187,PCA,20.0,5,0.9893540763388614,20
188,UMAP,20.0,5,0.9775543974576255,20
189,TPHATE,50.0,5,0.983125250321354,20
190,LLE,50.0,5,0.763947734246484,20
191,ISOMAP,50.0,5,0.8375019770788418,20
192,TSNE,50.0,5,0.8629786464805823,20
193,PHATE,50.0,5,0.8974923222824525,20
194,PCA,50.0,5,0.9137782933219796,20
195,UMAP,50.0,5,0.9056946249543588,20
196,TPHATE,80.0,5,0.956843646469196,20
197,LLE,80.0,5,0.5884404076401466,20
198,ISOMAP,80.0,5,0.7103751544546646,20
199,TSNE,80.0,5,0.7511030562967417,20
200,PHATE,80.0,5,0.8240444416764066,20
201,PCA,80.0,5,0.8169362516881542,20
202,UMAP,80.0,5,0.8383635528623389,20
203,TPHATE,100.0,5,0.9726597740451146,20
204,LLE,100.0,5,0.610487537313378,20
205,ISOMAP,100.0,5,0.7153150706910363,20
206,TSNE,100.0,5,0.6997059110775588,20
207,PHATE,100.0,5,0.7968981623921912,20
208,PCA,100.0,5,0.8167719450112045,20
209,UMAP,100.0,5,0.7430062681921535,20
210,TPHATE,0.5,6,0.9902857168314481,20
211,LLE,0.5,6,0.8851832636039307,20
212,ISOMAP,0.5,6,0.999359590072005,20
213,TSNE,0.5,6,0.9226993602143267,20
214,PHATE,0.5,6,0.9898289678015536,20
215,PCA,0.5,6,0.999359590072005,20
216,UMAP,0.5,6,0.9880433171982823,20
217,TPHATE,1.0,6,0.988210230110348,20
218,LLE,1.0,6,0.8862426602237092,20
219,ISOMAP,1.0,6,0.999359590072005,20
220,TSNE,1.0,6,0.9282864198119564,20
221,PHATE,1.0,6,0.9910474712796766,20
222,PCA,1.0,6,0.999359590072005,20
223,UMAP,1.0,6,0.985903180664353,20
224,TPHATE,2.0,6,0.9882205158829176,20
225,LLE,2.0,6,0.8882136698108869,20
226,ISOMAP,2.0,6,0.999359590072005,20
227,TSNE,2.0,6,0.8513101143625144,20
228,PHATE,2.0,6,0.9900752064135095,20
229,PCA,2.0,6,0.999359590072005,20
230,UMAP,2.0,6,0.9869833892101791,20
231,TPHATE,3.0,6,0.9880804117679919,20
232,LLE,3.0,6,0.8826363646175022,20
233,ISOMAP,3.0,6,0.9993405367220793,20
234,TSNE,3.0,6,0.9261488642098895,20
235,PHATE,3.0,6,0.9884399077428533,20
236,PCA,3.0,6,0.9993588436260252,20
237,UMAP,3.0,6,0.988402066727164,20
238,TPHATE,5.0,6,0.9880506298385593,20
239,LLE,5.0,6,0.8922085727851687,20
240,ISOMAP,5.0,6,0.9991383637261867,20
241,TSNE,5.0,6,0.7266082669975183,20
242,PHATE,5.0,6,0.9886279362200094,20
243,PCA,5.0,6,0.999314322551398,20
244,UMAP,5.0,6,0.9928653961828554,20
245,TPHATE,10.0,6,0.9882679468317036,20
