,subject,ROI,dataset,avg_difference,embed_method,model_LogLikelihood,AIC
1,16,high_Visual,sherlock,0.09664673567675468,PHATE,-2850.7439517132375,6665.487903426473
2,16,high_Visual,sherlock,0.13045245755810075,PHATE,-2822.753353716983,6609.506707433966
3,16,high_Visual,sherlock,0.10837552516967533,PHATE,-2780.7567731217578,6615.5135462435155
4,16,high_Visual,sherlock,0.0956656111616987,PHATE,-2752.9707685701546,6469.941537140309
5,16,high_Visual,sherlock,0.08638458575644475,PHATE,-2883.507516293161,6563.015032586322
6,16,high_Visual,sherlock,0.21495109689129896,PHATE,-2642.658841284903,6339.317682569806
7,16,high_Visual,sherlock,0.06407552725697895,PHATE,-2911.4952685213543,6700.990537042709
8,16,high_Visual,sherlock,0.056712438146006613,PHATE,-2921.4270857430565,6806.854171486113
9,16,high_Visual,sherlock,0.10143789549429154,PHATE,-2834.1499543867635,6722.299908773527
10,16,high_Visual,sherlock,0.06346468302109677,PHATE,-2906.570407986365,6867.14081597273
11,16,high_Visual,sherlock,0.054809471219657686,PHATE,-2918.020081716419,6800.040163432838
12,16,high_Visual,sherlock,0.09495195193437583,PHATE,-2855.69869600024,6507.39739200048
13,16,high_Visual,sherlock,0.16896020429649128,PHATE,-2736.6709015486285,6527.341803097257
14,16,high_Visual,sherlock,0.29667006090833703,PHATE,-2586.4982414933825,6136.996482986765
15,16,high_Visual,sherlock,0.03938242033278728,PHATE,-2924.0226051238433,6726.045210247687
0,20,aud_early,forrest,0.018897723868454425,LLE,-4370.882605018031,18819.76521003606
1,20,aud_early,forrest,0.011611417757596396,LLE,-4444.174871525486,19252.34974305097
2,20,aud_early,forrest,0.045844570476721413,LLE,-4100.886725310605,20055.773450621207
3,20,aud_early,forrest,0.010124377968993282,LLE,-5196.873596429769,21941.74719285954
4,20,aud_early,forrest,0.05100929744545859,LLE,-5287.899079998321,21523.798159996644
5,20,aud_early,forrest,0.04712024011778323,LLE,-5363.064537537538,21380.12907507508
6,20,aud_early,forrest,0.059766634472674586,LLE,-5114.401667941985,22082.80333588397
7,20,aud_early,forrest,0.0399173138592008,LLE,-4695.042179657428,21244.084359314857
