,test_subject,avg_diff,ROI,embed_method,dataset
142,2,5.6334134356883325e-05,pmc_nn,LLE,forrest
143,2,0.0065855846833062885,pmc_nn,LLE,sherlock
144,2,0.0018300992718588106,pmc_nn,PCA,forrest
145,2,0.014480864960337958,pmc_nn,PCA,sherlock
146,2,-0.001349290578994456,pmc_nn,PHATE,forrest
147,2,0.014702230789374304,pmc_nn,PHATE,sherlock
148,2,0.010267813672888091,pmc_nn,PHATE_TIME,forrest
149,2,0.04292385594921721,pmc_nn,PHATE_TIME,sherlock
150,2,-0.0003538133094958375,pmc_nn,SMOOTH_PHATE,forrest
151,2,0.013562654102325735,pmc_nn,SMOOTH_PHATE,sherlock
152,2,0.00622262118887354,pmc_nn,TPHATE,forrest
153,2,0.022152943028214623,pmc_nn,TPHATE,sherlock
154,2,-0.00027492401327942206,pmc_nn,TSNE,forrest
155,2,0.007754838186697481,pmc_nn,TSNE,sherlock
156,2,-0.0009101629237610152,pmc_nn,UMAP,forrest
157,2,0.01844628314351067,pmc_nn,UMAP,sherlock
158,2,0.0017479370263392387,pmc_nn,voxel,forrest
159,2,0.01591368621313712,pmc_nn,voxel,sherlock
160,3,0.008613765829331788,aud_early,ISOMAP,forrest
161,3,0.026581363405753122,aud_early,ISOMAP,sherlock
162,3,0.0005854703822088289,aud_early,LLE,forrest
163,3,0.020159594112182346,aud_early,LLE,sherlock
164,3,0.00501004077944343,aud_early,PCA,forrest
165,3,0.0200745991087569,aud_early,PCA,sherlock
166,3,-0.013675442400472585,aud_early,PHATE,forrest
167,3,0.03581466272816635,aud_early,PHATE,sherlock
168,3,0.011131747439790769,aud_early,PHATE_TIME,forrest
169,3,0.028228941224610917,aud_early,PHATE_TIME,sherlock
170,3,0.044305592058414334,aud_early,SMOOTH_PHATE,forrest
171,3,0.024048878655175125,aud_early,SMOOTH_PHATE,sherlock
172,3,0.0679455934219549,aud_early,TPHATE,forrest
173,3,0.044077086322824206,aud_early,TPHATE,sherlock
174,3,0.0017306941809103445,aud_early,TSNE,forrest
175,3,0.0021354917840880746,aud_early,TSNE,sherlock
176,3,-0.0013806029046598241,aud_early,UMAP,forrest
177,3,0.008880859552391516,aud_early,UMAP,sherlock
178,3,0.005436682553177016,aud_early,voxel,forrest
179,3,0.014263050073521794,aud_early,voxel,sherlock
180,3,0.005422856979465025,early_visual,ISOMAP,forrest
181,3,0.024562537556917372,early_visual,ISOMAP,sherlock
182,3,-0.000345665706301699,early_visual,LLE,forrest
183,3,0.022417914915373302,early_visual,LLE,sherlock
184,3,0.0061491036282014305,early_visual,PCA,forrest
185,3,0.03584783102816035,early_visual,PCA,sherlock
186,3,0.006317974047060856,early_visual,PHATE,forrest
187,3,0.03406497341317246,early_visual,PHATE,sherlock
188,3,-0.017375756861738964,early_visual,PHATE_TIME,forrest
189,3,0.0031700308330769155,early_visual,PHATE_TIME,sherlock
190,3,0.01532303793762705,early_visual,SMOOTH_PHATE,forrest
191,3,-0.012199479583471676,early_visual,SMOOTH_PHATE,sherlock
192,3,0.027783692486564173,early_visual,TPHATE,forrest
193,3,0.04633850096524477,early_visual,TPHATE,sherlock
194,3,0.003267406726834075,early_visual,TSNE,forrest
195,3,0.015218616701181537,early_visual,TSNE,sherlock
196,3,0.005058671952361099,early_visual,UMAP,forrest
197,3,0.02456375110457593,early_visual,UMAP,sherlock
198,3,0.006485506662932726,early_visual,voxel,forrest
199,3,0.034481570131072246,early_visual,voxel,sherlock
200,3,0.00445514747501549,high_Visual,ISOMAP,forrest
201,3,0.014505330637012323,high_Visual,ISOMAP,sherlock
202,3,0.003583181261901258,high_Visual,LLE,forrest
203,3,0.006701425460865895,high_Visual,LLE,sherlock
204,3,0.01147066066753297,high_Visual,PCA,forrest
205,3,0.013388669502124896,high_Visual,PCA,sherlock
206,3,0.012219241886872205,high_Visual,PHATE,forrest
207,3,0.017235737510011184,high_Visual,PHATE,sherlock
208,3,0.00801227586117886,high_Visual,PHATE_TIME,forrest
209,3,0.015116244240264103,high_Visual,PHATE_TIME,sherlock
210,3,0.07774536810169072,high_Visual,SMOOTH_PHATE,forrest
211,3,0.043977550569307,high_Visual,SMOOTH_PHATE,sherlock
212,3,0.07440455704825906,high_Visual,TPHATE,forrest
213,3,0.0197627520813745,high_Visual,TPHATE,sherlock
214,3,-0.002556970057553207,high_Visual,TSNE,forrest
215,3,0.019474272510879527,high_Visual,TSNE,sherlock
216,3,0.0018484287591384188,high_Visual,UMAP,forrest
217,3,0.014579781101072069,high_Visual,UMAP,sherlock
218,3,0.006059767536511247,high_Visual,voxel,forrest
219,3,0.014505116758239482,high_Visual,voxel,sherlock
220,3,-4.648506045644968e-05,pmc_nn,ISOMAP,forrest
221,3,0.01378477062417754,pmc_nn,ISOMAP,sherlock
222,3,0.0010598860508230065,pmc_nn,LLE,forrest
223,3,0.004410115428572244,pmc_nn,LLE,sherlock
224,3,0.0011305104518817036,pmc_nn,PCA,forrest
225,3,0.015589349306746204,pmc_nn,PCA,sherlock
226,3,0.0010441220243049935,pmc_nn,PHATE,forrest
227,3,0.01256628754816836,pmc_nn,PHATE,sherlock
228,3,0.007417050051070365,pmc_nn,PHATE_TIME,forrest
229,3,-0.017400646730222312,pmc_nn,PHATE_TIME,sherlock
230,3,-0.0001633826377302077,pmc_nn,SMOOTH_PHATE,forrest
231,3,-0.006317719902340254,pmc_nn,SMOOTH_PHATE,sherlock
232,3,0.012471894760033762,pmc_nn,TPHATE,forrest
233,3,0.04827134135647345,pmc_nn,TPHATE,sherlock
234,3,0.0007395224842411052,pmc_nn,TSNE,forrest
235,3,0.004001057271364243,pmc_nn,TSNE,sherlock
236,3,0.002708770617190291,pmc_nn,UMAP,forrest
237,3,0.009967713377565463,pmc_nn,UMAP,sherlock
238,3,0.0008965419915638856,pmc_nn,voxel,forrest
239,3,0.012818748078227242,pmc_nn,voxel,sherlock
240,4,0.006513987829058589,aud_early,ISOMAP,forrest
241,4,0.02744902817579413,aud_early,ISOMAP,sherlock
242,4,0.005323273543219471,aud_early,LLE,forrest
243,4,0.014170898733339822,aud_early,LLE,sherlock
244,4,0.008158599904945026,aud_early,PCA,forrest
245,4,0.038823384898498896,aud_early,PCA,sherlock
246,4,-0.010058726218298576,aud_early,PHATE,forrest
247,4,0.04293870671717213,aud_early,PHATE,sherlock
248,4,0.00849608645432236,aud_early,PHATE_TIME,forrest
249,4,0.0009108127473770877,aud_early,PHATE_TIME,sherlock
250,4,0.01281514066143073,aud_early,SMOOTH_PHATE,forrest
251,4,-0.0059210356701203,aud_early,SMOOTH_PHATE,sherlock
252,4,0.018194681851005676,aud_early,TPHATE,forrest
253,4,0.028573279913682935,aud_early,TPHATE,sherlock
254,4,0.01905289726517302,aud_early,TSNE,forrest
255,4,0.013818872066688807,aud_early,TSNE,sherlock
256,4,0.0034800355922127582,aud_early,UMAP,forrest
257,4,0.023453997006625423,aud_early,UMAP,sherlock
258,4,0.007184068256269425,aud_early,voxel,forrest
259,4,0.008987322568213486,aud_early,voxel,sherlock
260,4,0.005820979706291852,early_visual,ISOMAP,forrest
261,4,0.04269943668642241,early_visual,ISOMAP,sherlock
262,4,-0.0025690675303236027,early_visual,LLE,forrest
263,4,0.030929318635041145,early_visual,LLE,sherlock
264,4,0.006075809622797895,early_visual,PCA,forrest
265,4,0.03800364918643232,early_visual,PCA,sherlock
266,4,0.0055034446243989645,early_visual,PHATE,forrest
267,4,0.041515871277930924,early_visual,PHATE,sherlock
268,4,0.004160555258258916,early_visual,PHATE_TIME,forrest
269,4,-0.03150711467341425,early_visual,PHATE_TIME,sherlock
270,4,0.027159184662135072,early_visual,SMOOTH_PHATE,forrest
271,4,0.034761539890543106,early_visual,SMOOTH_PHATE,sherlock
272,4,0.014076278088791612,early_visual,TPHATE,forrest
273,4,0.042954742140826174,early_visual,TPHATE,sherlock
274,4,0.0017870252121179454,early_visual,TSNE,forrest
275,4,0.03325162980876601,early_visual,TSNE,sherlock
276,4,0.014316130621332416,early_visual,UMAP,forrest
277,4,0.04650974390670856,early_visual,UMAP,sherlock
278,4,0.007584418318616715,early_visual,voxel,forrest
279,4,0.04681543227105624,early_visual,voxel,sherlock
280,4,0.005567891957708441,high_Visual,ISOMAP,forrest
281,4,0.0011185744687487419,high_Visual,ISOMAP,sherlock
282,4,0.015522079146162096,high_Visual,LLE,forrest
283,4,0.013339579000832526,high_Visual,LLE,sherlock
284,4,0.008142172745657737,high_Visual,PCA,forrest
285,4,0.008750475108215134,high_Visual,PCA,sherlock
286,4,0.008963824734592181,high_Visual,PHATE,forrest
