,Unnamed: 0,method,sigma,alpha,rho
241,241,PHATE,5.0,6,0.9902583640143569
242,242,PCA,5.0,6,0.9993566675462195
243,243,UMAP,5.0,6,0.988228195420371
244,244,TPHATE,5.0,6,0.9882220467297576
245,245,LLE,10.0,6,0.8853110197311226
246,246,ISOMAP,10.0,6,0.9962290715423646
247,247,TSNE,10.0,6,0.9163775194367568
248,248,PHATE,10.0,6,0.986111679473634
249,249,PCA,10.0,6,0.9970245046210728
250,250,UMAP,10.0,6,0.9938049059872972
251,251,TPHATE,10.0,6,0.9877698143306224
252,252,LLE,20.0,6,0.8760731940591656
253,253,ISOMAP,20.0,6,0.9867940576154649
254,254,TSNE,20.0,6,0.9030025612022936
255,255,PHATE,20.0,6,0.9822193938441384
256,256,PCA,20.0,6,0.9926138691909068
257,257,UMAP,20.0,6,0.98790320043173
258,258,TPHATE,20.0,6,0.9883383278314628
259,259,LLE,50.0,6,0.7784255347870769
260,260,ISOMAP,50.0,6,0.8977037309658921
261,261,TSNE,50.0,6,0.8506727633603818
262,262,PHATE,50.0,6,0.91604077108684
263,263,PCA,50.0,6,0.944429199739624
264,264,UMAP,50.0,6,0.911656198007834
265,265,TPHATE,50.0,6,0.9789135996771328
266,266,LLE,80.0,6,0.5848904623796032
267,267,ISOMAP,80.0,6,0.8149937082612243
268,268,TSNE,80.0,6,0.7918738471535919
269,269,PHATE,80.0,6,0.8812149163942534
270,270,PCA,80.0,6,0.8968690651925492
271,271,UMAP,80.0,6,0.8664697869798674
272,272,TPHATE,80.0,6,0.9715112340630669
273,273,LLE,100.0,6,0.5402246404902467
274,274,ISOMAP,100.0,6,0.7180743904910467
275,275,TSNE,100.0,6,0.7437766383982168
276,276,PHATE,100.0,6,0.8016210905777149
277,277,PCA,100.0,6,0.8142177080812453
278,278,UMAP,100.0,6,0.7916144128949075
279,279,TPHATE,100.0,6,0.9638421088984136
