,subject,embedding_dimensions,embed_method,clf_accuracy,clf_sd,ROI
13,20,20,ACPHATE,0.34455128205128205,0.036649348160350224,early_visual
0,1,20,PCA,0.4951923076923077,0.009480897088300655,high_Visual
1,2,20,PCA,0.5192307692307692,0.011992491624275457,high_Visual
2,3,20,PCA,0.42147435897435903,0.02985246155480313,high_Visual
3,4,20,PCA,0.4342948717948718,0.02579082842857544,high_Visual
4,6,20,PCA,0.4166666666666666,0.04818364223837472,high_Visual
5,9,20,PCA,0.5496794871794871,0.032488998289604644,high_Visual
6,10,20,PCA,0.5336538461538461,0.027337695687871783,high_Visual
7,14,20,PCA,0.4759615384615384,0.005315103830697761,high_Visual
8,15,20,PCA,0.4919871794871795,0.02095624492086864,high_Visual
9,16,20,PCA,0.4727564102564102,0.02695930102766141,high_Visual
10,17,20,PCA,0.48557692307692296,0.03492707486811436,high_Visual
11,18,20,PCA,0.4455128205128205,0.005551444896054097,high_Visual
12,19,20,PCA,0.5384615384615384,0.045100151536763736,high_Visual
13,20,20,PCA,0.4791666666666667,0.0295063343582083,high_Visual
